proteins,NaN_prop_samples_with_targets,NaN_prop_all_samples,target,NaN_control,targeting_pert_ids
Q6DHV7,0.01282051282051282,0.010638297872340425,False,False,
Q6DKI1,0.0,0.0,False,False,
Q6DKJ4,0.0,0.0,False,False,
Q6DKK2,0.0,0.0,False,False,
Q6DN90,0.08974358974358974,0.0851063829787234,False,False,
Q6DT37,0.01282051282051282,0.010638297872340425,False,False,
Q6EEV4,0.038461538461538464,0.05319148936170213,False,False,
Q6EEV6,0.0,0.0,False,False,
Q6EMK4,0.6923076923076923,0.723404255319149,False,True,
Q6F5E8,0.0,0.0,False,False,
Q6FI13,0.0,0.0,False,False,
Q6FI81,0.0,0.0,False,False,
Q6FIF0,0.05128205128205128,0.0425531914893617,False,False,
Q6GMV2,0.01282051282051282,0.010638297872340425,False,False,
Q6GMV3,0.01282051282051282,0.010638297872340425,False,False,
Q6GQQ9,0.0,0.0,False,False,
Q6GYQ0,0.02564102564102564,0.02127659574468085,False,False,
Q6I9Y2,0.0,0.0,False,False,
Q6IA17,0.0,0.0,False,False,
Q6IA69,0.0,0.0,False,False,
Q6IA86,0.0,0.0,False,False,
Q6IAA8,0.0,0.0,False,False,
Q6IAN0,0.0,0.0,False,False,
Q6IBS0,0.0,0.0,False,False,
Q6IBW4,0.0,0.010638297872340425,False,False,
Q6ICB0,0.0,0.0,False,False,
Q6ICG6,0.01282051282051282,0.010638297872340425,False,False,
Q6ICL3,0.14102564102564102,0.1702127659574468,False,True,
Q6IN84,0.0,0.0,False,False,
Q6IN85,0.0,0.0,False,False,
Q6IPR1,0.3974358974358974,0.3723404255319149,False,True,
Q6IPR3,0.02564102564102564,0.0425531914893617,False,False,
Q6IPU0,0.038461538461538464,0.07446808510638298,False,False,
Q6IQ22,0.0,0.0,False,False,
Q6IQ23,0.01282051282051282,0.010638297872340425,False,False,
Q6IQ26,0.02564102564102564,0.031914893617021274,False,False,
Q6IQ32,0.01282051282051282,0.010638297872340425,False,False,
Q6IQ49,0.05128205128205128,0.0425531914893617,False,False,
